user_id,total_orders,total_revenue,avg_order_value
U000684,10,4232.38,423.238
U007930,9,8947.98,994.2199999999999
U003319,9,5372.75,596.9722222222222
U006830,8,3252.58,406.5725
U001799,8,6985.08,873.135
U002102,8,3342.44,417.805
U005660,8,6031.88,753.985
U006904,8,4360.26,545.0325
U007268,8,5563.62,695.4525
U004751,8,1757.97,219.74625
U007307,8,3163.47,395.43375
U006310,8,4242.41,530.30125
U003889,8,4173.82,521.7275
U007598,7,1563.04,223.29142857142855
U008724,7,2185.37,312.19571428571425
U008540,7,4892.79,698.97
U001611,7,1765.8500000000001,252.26428571428573
U004111,7,2626.2999999999997,375.18571428571425
U002754,7,4549.97,649.9957142857144
U006744,7,6087.21,869.6014285714285
U004375,7,4050.1800000000003,578.5971428571429
U001628,7,2866.0,409.42857142857144
U006128,7,6238.3,891.1857142857143
U000564,7,7888.82,1126.9742857142858
U004298,7,3109.0699999999997,444.1528571428571
U005155,7,2258.3,322.61428571428576
U004613,7,3936.9300000000003,562.4185714285715
U009034,7,6402.09,914.5842857142858
U001052,7,2724.34,389.1914285714286
U005087,7,4878.87,696.9814285714285
U009453,7,2982.82,426.1171428571429
U002115,7,5312.7,758.9571428571428
U005863,7,1597.45,228.20714285714286
U008868,7,6226.65,889.5214285714285
U001080,7,3357.38,479.6257142857143
U005096,7,5381.28,768.7542857142856
U005914,7,2476.91,353.8442857142857
U001151,7,5758.99,822.7128571428572
U009789,7,2447.72,349.6742857142857
U009313,7,4144.889999999999,592.1271428571428
U003321,7,1753.94,250.56285714285715
U007909,7,2149.16,307.0228571428571
U000159,7,1771.7,253.1
U004595,7,2930.15,418.59285714285716
U006660,7,2464.84,352.12
U006456,7,4946.33,706.6185714285714
U002227,7,2007.91,286.8442857142857
U005577,7,6211.9,887.4142857142857
U000088,7,2405.88,343.69714285714286
U001285,7,2317.63,331.09000000000003
U002203,7,2687.08,383.86857142857144
U006754,7,3345.25,477.89285714285717
U008268,7,5839.8,834.2571428571429
U004961,7,2711.58,387.36857142857144
U002404,7,2972.2200000000003,424.6028571428572
U006527,7,4490.599999999999,641.5142857142856
U004335,6,4380.75,730.125
U001537,6,2938.0,489.6666666666667
U005276,6,2640.9,440.15000000000003
U000180,6,3617.44,602.9066666666666
U005505,6,4739.71,789.9516666666667
U007488,6,3407.74,567.9566666666666
U009574,6,2624.42,437.40333333333336
U002730,6,1021.9000000000001,170.3166666666667
U006100,6,739.99,123.33166666666666
U004502,6,4152.42,692.07
U008635,6,5290.52,881.7533333333334
U007190,6,2845.42,474.2366666666667
U005517,6,3479.1099999999997,579.8516666666666
U000168,6,2113.44,352.24
U007554,6,1483.12,247.18666666666664
U009219,6,3762.59,627.0983333333334
U001850,6,2882.5099999999998,480.4183333333333
U007160,6,6496.040000000001,1082.6733333333334
U006165,6,4925.02,820.8366666666667
U004464,6,3727.66,621.2766666666666
U007977,6,1062.05,177.00833333333333
U006159,6,2433.25,405.5416666666667
U000795,6,1389.13,231.52166666666668
U006358,6,515.49,85.915
U006318,6,5694.78,949.13
U007095,6,5332.360000000001,888.7266666666668
U000119,6,6665.530000000001,1110.9216666666669
U006708,6,2363.3,393.8833333333334
U000127,6,5147.18,857.8633333333333
U001842,6,6925.95,1154.325
U001679,6,5271.69,878.6149999999999
U000645,6,2385.6400000000003,397.60666666666674
U000817,6,5405.98,900.9966666666666
U005441,6,1813.8600000000001,302.31
U006836,6,4163.11,693.8516666666666
U005373,6,3021.27,503.545
U009653,6,2092.49,348.7483333333333
U000714,6,1353.9,225.65
U003734,6,3039.54,506.59
U005386,6,2138.6499999999996,356.4416666666666
U004324,6,3128.67,521.445
U004306,6,2449.48,408.24666666666667
U000801,6,2363.44,393.9066666666667
U008104,6,4406.33,734.3883333333333
U002641,6,2151.9500000000003,358.65833333333336
U004717,6,7611.02,1268.5033333333333
U003289,6,5738.31,956.3850000000001
U004598,6,1916.06,319.3433333333333
U004661,6,2994.33,499.055
U001990,6,5383.79,897.2983333333333
U002012,6,5676.23,946.0383333333333
U000217,6,5164.23,860.7049999999999
U006659,6,2971.6400000000003,495.27333333333337
U008714,6,1857.19,309.5316666666667
U006699,6,1413.56,235.59333333333333
U007254,6,5553.82,925.6366666666667
U008674,6,2435.77,405.96166666666664
U006445,6,2267.28,377.88000000000005
U000157,6,5666.250000000001,944.3750000000001
U000955,6,1445.48,240.91333333333333
U006038,6,2303.4700000000003,383.9116666666667
U003239,6,3809.66,634.9433333333333
U008465,6,5001.12,833.52
U009587,6,3740.08,623.3466666666667
U005530,6,3986.18,664.3633333333333
U002076,6,3151.2,525.1999999999999
U008134,6,6224.71,1037.4516666666666
U004737,6,5667.59,944.5983333333334
U002053,6,3050.11,508.3516666666667
U008124,6,2671.6400000000003,445.27333333333337
U007276,6,3209.17,534.8616666666667
U007302,6,2637.3199999999997,439.5533333333333
U008774,6,6640.42,1106.7366666666667
U002530,6,2332.96,388.82666666666665
U000416,6,5400.719999999999,900.1199999999999
U007252,6,1853.15,308.85833333333335
U005151,6,5394.5199999999995,899.0866666666666
U005171,6,2529.13,421.5216666666667
U003827,6,4443.12,740.52
U005173,6,3413.6800000000003,568.9466666666667
U002495,6,5582.55,930.4250000000001
U001054,6,1130.0700000000002,188.34500000000003
U005955,6,2417.26,402.8766666666667
U000458,6,5533.08,922.18
U007827,6,1790.1100000000001,298.3516666666667
